Domain Code,Domain,Area Code (M49),Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,region
BE,Bioenergy,008,Albania,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,5888,X,Figure from external organization,Europe
BE,Bioenergy,032,Argentina,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,21712,X,Figure from external organization,South America
BE,Bioenergy,036,Australia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,38,I,"Value 
imputed by a
receiving 
agency",Oceania
BE,Bioenergy,040,Austria,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,348,X,Figure from external organization,Europe
BE,Bioenergy,112,Belarus,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,589,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,056,Belgium,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,4,X,Figure from external organization,Europe
BE,Bioenergy,060,Bermuda,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,7,X,Figure from external organization,Noth America
BE,Bioenergy,076,Brazil,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,240324,X,Figure from external organization,South America
BE,Bioenergy,100,Bulgaria,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,6879,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,124,Canada,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,33141,I,"Value 
imputed by a
receiving 
agency",Noth America
BE,Bioenergy,159,China,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,323840,E,Estimated value,East Asia
BE,Bioenergy,156,"China, mainland",5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,323840,I,"Value 
imputed by a
receiving 
agency",East Asia
BE,Bioenergy,170,Colombia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,25251,I,"Value 
imputed by a
receiving 
agency",South America
BE,Bioenergy,191,Croatia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,877,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,196,Cyprus,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,1002,I,"Value 
imputed by a
receiving 
agency",Midde East
BE,Bioenergy,203,Czechia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,11592,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,208,Denmark,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,6316,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,214,Dominican Republic,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,,O,Missing value,Caribbean
BE,Bioenergy,233,Estonia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,911,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,246,Finland,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,1287,X,Figure from external organization,Europe
BE,Bioenergy,250,France,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,102674,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,268,Georgia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,1,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,276,Germany,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,96306,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,300,Greece,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,6207,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,348,Hungary,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,8795,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,352,Iceland,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,156,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,356,India,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,1325,I,"Value 
imputed by a
receiving 
agency",South Asia
BE,Bioenergy,360,Indonesia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,339014,I,"Value 
imputed by a
receiving 
agency",Southeast Asia
BE,Bioenergy,372,Ireland,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,8291,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,380,Italy,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,56386,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,392,Japan,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,345,I,"Value 
imputed by a
receiving 
agency",East Asia
BE,Bioenergy,428,Latvia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,95,X,Figure from external organization,Europe
BE,Bioenergy,440,Lithuania,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,4166,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,442,Luxembourg,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,4476,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,458,Malaysia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,34625,I,"Value 
imputed by a
receiving 
agency",Southeast Asia
BE,Bioenergy,470,Malta,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,463,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,528,Netherlands (Kingdom of the),5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,14407,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,554,New Zealand,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,6,I,"Value 
imputed by a
receiving 
agency",Oceania
BE,Bioenergy,807,North Macedonia,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,9,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,578,Norway,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,12346,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,604,Peru,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,11982,I,"Value 
imputed by a
receiving 
agency",South America
BE,Bioenergy,608,Philippines,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,7600,I,"Value 
imputed by a
receiving 
agency",Southeast Asia
BE,Bioenergy,616,Poland,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,40454,I,"Value 
imputed by a
receiving 
agency",Europe
BE,Bioenergy,620,Portugal,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,107,X,Figure from external organization,Europe
BE,Bioenergy,410,Republic of Korea,5851,Energy consumption,6521,Biodiesel,2023,2023,TJ,25632,I,"Value 
imputed by a
receiving 
agency",Europe
